Feb 28,mahsa,@mahsairani44,"ما همه پیروز هستیم 
اگر با هم به خیابان ها نیاییم دسته دسته ما را خواهند گشت مردم بیاییم به خیابان‌ها چاره دیگری نداریم لطفا هر جمعه با بلوچستان در همه شهرها به خیابان‌ها بیاییم #مهسا_امینی",@alikarimi_ak8
Feb 28,Aman אמ״ן,@Aman_IDF,"دیروز پیروز را گشتند، امروز دختر تورا در مدرسه، فردا تو را هموطن
#مهسا‌‌‌‌_امینی 
#پیروز 
#اتحاد_رمز_پیروزی",@alikarimi_ak8
Feb 28,داریوش ایرانی,@darushirani13,چس ناله ممنوع گرامی,@alikarimi_ak8
Mar 1,Kevin Kourosh Aryamehr,@inventor_kevin,تا آخوند کفن نشود*این وطن وطن نشود #پیروز,@alikarimi_ak8
Feb 28,Jazireye Sorkh,@JazireyeSorkh,"پیروز انگار خود ما بود
غریب و اسیر، در وطن خویش
اندوهی که نفس می‌کشید
و انگار، هرگز حتی اندک مجالی برای شادی نخواهد داشت 

بدرود #پیروز عزیز
تو یکی از ما بودی",@alikarimi_ak8
Feb 28,شهاب پارسا,@shahab_twt,اون روزی که براندازا سر قضیه‌ی آهنگ شروین نوشتن ما پیروزیم میدونستم این حیوون طاقت نمیاره. هنوز بچه بود، تحمل این همه توهین رو نداشت.,@alikarimi_ak8
Feb 28,☼ 𓃬 مه سیما,@MaH_sima1,اقای علی کریمی مرسی بابت تمام زحماتون این مدته ,@alikarimi_ak8
Feb 28,یه قزوینی,@tonddarr,"چون تنهایی نمی‌شه پیروز شد
اگه میخوایم تلف نشیم یه بار همه باهم باید پیروز بشیم
#مهسا_امینی 
#IranRevoIution",@alikarimi_ak8
Feb 28,𝓑𝓲𝓽𝓪,@bitaf_27,برای انتقام انقراضش,@alikarimi_ak8
Feb 28,ℓ๑ㅜบร,@misskind74,"دل یه ایران بندت بود #پیروز جانم 
#مهسا_امینی
#IRGCterrorists",@alikarimi_ak8
Feb 28,یه قزوینی,@tonddarr,"چون تنهایی نمی‌شه پیروز شد
اگه میخوایم تلف نشیم یه بار همه باهم باید پیروز بشیم
#مهسا_امینی 
#IranRevoIution",@alikarimi_ak8
Feb 28,𝓑𝓲𝓽𝓪,@bitaf_27,برای انتقام انقراضش,@alikarimi_ak8
Feb 28,ℓ๑ㅜบร,@misskind74,"دل یه ایران بندت بود #پیروز جانم 
#مهسا_امینی
#IRGCterrorists",@alikarimi_ak8
Feb 28,بهنام عبادی,@behnam73ebadi,,@alikarimi_ak8
Feb 28,فردای بهتر,@rahayee_,"شما يه ظرف شاش شتر بده دست آخوند!
اگه تونست سالم نگهش داره و نخورش..!!

بعد انتظار داريد يوز در حال انقراض نگه داره..؟! 

#ازپیروز_تا_پیروزی",@alikarimi_ak8
Feb 28,𝐀𝐲𝐝𝐚|𓂀زن آزاده,@twittaydaa,پیروز عزیز,@alikarimi_ak8
Feb 28,sea,@sea70887621,"#من_وکالت_میدهم 
#مرگ_بر_سه_فاسد_ملا_چپی_مجاهد 
#چهارشنبه_سوری",@alikarimi_ak8
Feb 28,rahsa,@Aria_Azadiikhah,"پیروز مارو ببخش 
#پیروز",@alikarimi_ak8
Feb 28,Immortal,@Immortalless,به نظر می‌رسد #فقر_فساد_گرونی سکه ای است که باید به هر دو روی آن (داخل و خارج) پرداخت. برای داخل کشور و به خصوص اقشار درگیر با آن و اصناف از جمله بازنشستگان باید به صورت روشن برنامه ای داشته باشیم که آنها را متقاعد به براندازی کنیم. در حال حاضر این اقشار درگیر ۱/۱۱,@alikarimi_ak8
Feb 28,تی نا,@tinaaaqs,برا هزینه درمان این بچه بودجه ندارن ولی برای بازسازی یه امام زاده تو جایی که ببر پلنگم خایه نمیکنه بره اونجا چرا,@alikarimi_ak8
